,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE  ,,,,,,,,,,,,,,,,,,,,
MINISTERE DE LA SANTE DE LA POPULATION ET DE LA REFORME HOSPITALIERE,,,,,,,,,,,,,,,,,,,,
DIRECTION GENERALE DE LA PHARMACIE ET DES EQUIPEMENTS DE SANTE,,,,,,,,,,,,,,,,,,,,
DIRECTION DES PRODUITS PHARMACEUTIQUES - SOUS DIRECTION DE L'ENREGISTREMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOMENCLATURE NATIONALE DES PRODUITS PHARMACEUTIQUES A USAGE DE LA MEDECINE HUMAINE AU 31 DECEMBRE 2019  ( 3412 DE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
N°,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL ,DATE D'ENREGISTREMENT  FINAL ,TYPE,STATUT,DUREE DE STABILITE,,
2611,470/ 10 E 108 /13,10 E 108,Phloroglucinol dihydraté,PHLOROGLUCINOL MM,COMP. ORODISPERS.,80MG,B/10,,HOP,OFF,,MM (SARL LABORATOIRES MM),ALGERIE,7/21/2013,7/21/2013,Gé,F,,,
2612,518/10 E 108/17,10 E 108,Phloroglucinol dihydraté,PHLOSPASM,COMP. ORODISPERS.,80MG,B/20,,HOP,OFF,,TAPHCO,ALGERIE,3/7/2017,3/7/2017,GE,F,24 MOIS,,
2613,518/10 E 207/17,10 E 207,Phloroglucinol dihydraté,PHLOSPAM,COMP ORODISPERSIBLE,160 MG,B/20,,HOP,OFF,,TAPHCO SPA,ALGERIE,4/12/2017,4/12/2017,Gé,F,24 MOIS,,
2614,418/10 B 119/19,10 B 119,PHLOROGLUCINOL DIHYDRATE/ SIMETICONE,METEOLAX,GLES,80MG/125MG,B/60,,HOP,OFF,,NEOMEDIC SARL,ALGERIE,12/22/2019,12/22/2019,Gé,F,24MOIS,,
2615,039/ 10 E 038 /14,10 E 038,PHLOROGLUCINOL HYDRATE/ TRIMETHYLPHLOROGLUCINOL,PHLOCINAL,SOL INJ IM/IV,"10MG/0,01MG/1ML (40MG/0,04MG/4ML)",B/06 AMPS 4ML ET B/100 AMPS 4ML,,HOP,,,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,7/16/2014,7/16/2014,Gé,C IIaire,24 MOIS,,
2616,433/ 10 E 038 /14,10 E 038,PHLOROGLUCINOL HYDRATE/ TRIMETHYLPHLOROGLUCINOL,SPASMODYL,SOL INJ IM/IV,"10MG/0,01MG/1ML (40MG/0,04MG/4ML)",B/05 AMP DE 4ML ET B/50 AMP DE 4ML ,,HOP,OFF,B/50 AMP RESERVEE A L'HOPITAL,FRATER RAZES,ALGERIE,8/7/2014,7/4/2016,Gé,F,24 MOIS,,
2617,049/ 20 B 110 /04,20 B 110,PHOLCODINE,RHINATHIOL AD TOUX SECHE,SIROP,0.12%,FL/125ML,Liste I,HOP,OFF,,INSTITUT MEDICAL ALGERIEN,ALGERIE,3/6/2004,3/6/2004,Gé,F,,,
2618,049/ 20 C 111 /05,20 C 111,PHOLCODINE,TUSSO RHINATHIOL TOUX SECHE ENFANT,SIROP,"0,06%",F/125ML,Liste I,HOP,OFF,,INSTITUT MEDICAL ALGERIEN,ALGERIE,9/4/2005,9/4/2005,Gé,F,,,
2619,201/ 20 B 235 /97/14,20 B 235,PHOLCODINE / GAIACOL,BIOCALYPTOL A LA PHOLCODINE,SIROP,"131MG/19,75MG/100ML",FL/200ML,Liste I,HOP,OFF,,PROPHARMAL           SOUS LICENCE GLOBAL PHARMA INVESTISSEMENTS,ALGERIE,10/29/1997,11/30/2014,Gé,F,60 MOIS,,
2620,235/ 20 C 202 /05,20 C 202,PHOLCODINE/EXTRAIT FLUIDE D'ERYSIMUM,POLERY ENFANTS,SIROP,"1MG/29,6MG",FL./125ML,Liste I,HOP,OFF,,BIO-GALENIC,ALGERIE,6/5/2005,6/5/2005,Gé,F,,,
2621,067/ 10 L 208 /18,10 L 208,Phosphate monosodique monohydraté / phosphate disodique anhydre ,COLOKIT,COMPRIME,1102 MG / 398 MG,PILULIER  DE 32 CP CONTENANT 2 SACHETS DE DESSICANT,Liste I,HOP,OFF,,MAYLOLY SPINDLER,France,6/18/2018,6/18/2018,Ré,I,36 MOIS,,
2622,079/ 14 G 037 /98/08,14 G 037,PHOSPHATE TRICALCIQUE / FLUORURE DE SODIUM / VITAMINE D3 / ASCORBATE DE SODIUM,NEOCALCIGENOL,SUSP.BUV.,"125MG/0,5MG/8µG/22,50MG/5ML",FL/125 ML,,HOP,OFF,,LABORATOIRE  ALGERIEN DE DEVELOPPEMENT  PHARMACEUTIQUE   (LAD PHARMA),ALGERIE,12/23/1998,9/17/2008,Gé,F,,,
2623,022/ 17 E 119 /00/14,17 E 119,PICLOXYDINE CHLORHYDRATE,VITABACT,COLLYRE ,0.05%,FL/10ML,,HOP,OFF,,THEA,FRANCE,2/2/2000,10/27/2014,Ré,I,,,
2624,275/ 10 L 203 /15,10 L 203,PICOSULFATE DE SODIUM/OXYDE DE MAGNéSIUM LéGER / ACIDE CITRIQUE ,PICOPREP,POUDRE POUR SOLUTION BUVABLE EN SACHET ,"10MG/3,5MG/12G /SACHET",B/2,Liste I,HOP,OFF,,FERRING ARZNEIMITTEL GMBH,France,12/13/2015,12/13/2015,Ré,I,36 MOIS,,
2625,165/ 17 C 009 /98,17 C 009,PILOCARPINE,APICARPIN,COLLYRE ,1%,FL/10ML,Liste I,HOP,OFF,,AMMAN PHARMACEUTICAL INDUSTRIE,JORDANIE,10/7/1998,10/7/1998,Gé,I,,,
2626,165/ 17 C 010 /98,17 C 010,PILOCARPINE,APICARPIN,COLLYRE ,2%,FL/10ML,Liste I,HOP,OFF,,AMMAN PHARMACEUTICAL INDUSTRIE,JORDANIE,10/7/1998,10/7/1998,Gé,I,,,
2627,096/ 17 C 009 /98,17 C 009,PILOCARPINE (NITRATE),PILO 1,COLLYRE ,1%,FL/10ML,Liste I,HOP,OFF,,CHAUVIN ,FRANCE,4/27/1998,4/27/1998,Gé,I,,,
2628,065/ 10 E 104 /14,10 E 104,PINAVERIUM BROMURE,PINAVERIUM GL,COMPRIME PELLICULE ,100MG,B/20,LISTE II,HOP,OFF,,GENERICLAB SARL ,ALGERIE,2/16/2014,2/16/2014,Gé,Fprémix,24 MOIS,,
2629,147/ 10 E 036 /97/16,10 E 036,PINAVERIUM BROMURE,DICETEL,COMPRIME PELLICULE ,50MG,B/20,Liste II,HOP,OFF,,ABBOTT PRODUCTS SAS,FRANCE,6/22/1997,1/17/2016,Ré,F,24 MOIS,,
2630,147/ 10 E 104 /99/15,10 E 104,PINAVERIUM BROMURE,DICETEL,COMPRIME PELLICULE ,100MG,B/20,Liste II,HOP,OFF,,ABBOTT PRODUCTS SAS,FRANCE,5/4/1999,5/13/2015,Ré,F,24 MOIS,,
2631,149/ 10 E 104 /13/18,10 E 104,PINAVERIUM BROMURE,PINAVERIUM NOVAGENERICS,COMPRIME PELLICULE ,100MG,B/30,Liste II,HOP,OFF,,NOVAPHARM TRADING,ALGERIE,2/24/2013,12/31/2018,Gé,F,24 MOIS,,
2632,149/10 E 036/16,10 E 036,PINAVERIUM BROMURE,PINAVERIUM NOVAGENERICS,COMPRIME PELLICULE ,50MG,B/20,Liste II,HOP,OFF,,NOVAPHARM TRADING,ALGERIE,12/28/2016,12/28/2016,G,F,24 MOIS,,
2633,447/ 10 E 104 /13/18,10 E 104,PINAVERIUM BROMURE,PINATEL,COMPRIME PELLICULE ,100MG,B/28,Liste II,HOP,OFF,,BEKER SARL (SARL LABORATOIRE BEKER ALGERIE),ALGERIE,3/20/2013,8/14/2018,Gé,F,36MOIS,,
2634,003/ 21 A 005 /09/16,21 A 005,PIROXICAM,PRIXAM,GEL DERM.,0.5%,T/50G,Liste I,HOP,OFF,,SAIDAL GROUPE,ALGERIE,3/7/2009,1/17/2016,Gé,F,24 MOIS,,
2635,035/21 A 005/17,21 A 005,PIROXICAM,FELCAM,GEL ,0.5%,T/50G,Liste I,HOP,OFF,,EURL PHARMALLIANCE,ALGERIE,7/30/2017,7/30/2017,Gé,F,24 MOIS,,
2636,149/ 04 B 022 /14,04 B 022,PIROXICAM,PIROXICAM NOVAGENERICS,GLES.,20MG ,PILULIER/15,Liste I,HOP,OFF,,NOVAPHARM TRADING,ALGERIE,6/1/2014,6/1/2014,Gé,Fprémix,24 MOIS,,
2637,035/ 04 B 022 /19,04 B 022,PIROXICAM,FELCAM FAST,CP DISPERSIBLE SEC,20MG ,B/10,Liste I,HOP,OFF,,PHARMALLIANCE EURL,ALGERIE,5/29/2019,5/29/2019,Gé,F,24 MOIS,,
2638,149/ 21 A 005 /12/18,21 A 005,PIROXICAM,PIROXICAM NOVAGENERICS,GEL DERM.,0.5%,T/50G,Liste I,HOP,OFF,,NOVAPHARM TRADING,ALGERIE,3/20/2012,4/2/2018,Gé,F,36 MOIS,,
2639,263/ 04 B 022 /09/17,04 B 022,PIROXICAM,FENOXAM,COMP. DISPERS. SEC.,20MG,B/10,Liste I,HOP,OFF,,BIOPHARM SPA,ALGERIE,9/23/2009,2/27/2017,Gé,F,24 MOIS,,
2640,263/ 21 A 005 /12,21 A 005,PIROXICAM,FENOXAM,GEL DERM.,0.5%,T/50G,Liste I,HOP,OFF,,BIOPHARM ALGERIE,ALGERIE,3/20/2012,3/20/2012,Gé,F,,,
2641,289/ 04 B 022 /08/16,04 B 022 ,PIROXICAM,FRADENE,GLES.,20MG,B/20,Liste I,HOP,OFF,,FRATER RAZES FORME SECHE  SPA,ALGERIE,3/19/2008,2/15/2016,Gé,F,24 MOIS,,
2642,317/ 04 B 024 /12 ,04 B 024,PIROXICAM,PIROXEN,SOL. INJ. IM,20MG/ML,B/02 AMP. DE 1ML,Liste I,HOP,OFF,,INPHA-MEDIS,ALGERIE,4/19/2012,4/19/2012,Gé,C IIaire,60 MOIS,,
2643,352/ 21 A 005 /09,21 A 005,PIROXICAM,ORTHOCAM,GEL DERM.,0.5%,T/25G,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2/28/2009,2/28/2009,Gé,F,,,
2644,352/04 B 022/17,04 B 022,PIROXICAM,ORTHOCAM,CP DISPERSIBLE SEC,20MG,B/10,Liste I,HOP,OFF,,EL KENDI DU MEDICAMENT SPA,ALGERIE,3/19/2017,3/19/2017,Gé,F,24 MOIS,,
2645,366/ 21 A 005 /08,21 A 005 ,PIROXICAM,PIROXENE,GEL DERM.,0.5%,T./40G,Liste I,HOP,OFF,,4A SANTE INDUSTRIE SARL,ALGERIE,4/27/2008,4/27/2008,Gé,F,,,
2646,380/ 04 B 022 /12/18,04 B 022,PIROXICAM,PRELDENE,GLES.,20MG,B/10,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,11/27/2012,4/8/2018,Gé,F,24 MOIS,,
2647,380/ 04 B 024 /14,04 B 024,PIROXICAM,PRELDENE,SOL. INJ. IM,20MG/ML,B/02 AMP. DE 1ML,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,10/28/2014,10/28/2014,Gé,F,24 MOIS,,
2648,418/ 04 B 022 /14,04 B 022,PIROXICAM,ROXICAM,GLES ,20MG ,B/10,LISTE I,HOP,OFF,,NEOMEDIC,ALGERIE,7/27/2014,7/27/2014,Gé,F,24 MOIS,,
2649,433/04 B 024/09/16,04 B 024,PIROXICAM,FRADENE,SOL. INJ. IM,20MG/ML,B/02 AMP. DE 1ML,Liste I,HOP,OFF,,FRATER RAZES SPA,ALGERIE,5/2/2009,12/20/2016,Gé,F,36 MOIS,,
2650,462/ 04 B 022 /13,04 B 022,PIROXICAM,PIROXICAM PHYSIOPHARM,GLES.,20MG,B/10,Liste I,HOP,OFF,,PHYSIOPHARM SARL,ALGERIE,10/27/2013,10/27/2013,Gé,F,24 MOIS,,
2651,462/ 04 B 022 /15,04 B 022,PIROXICAM,PIROXICAM  PHYSIOPHARM,COMP ORODISPERSIBLE,20MG,B/10,Liste I,HOP,OFF,,PHYSIOPHARM SARL,ALGERIE,12/13/2015,12/13/2015,Gé,F,24 MOIS,,
2652,045/ 04 B 024 /98/16,04 B 024,PIROXICAM,FELDENE,SOL. INJ. IM,20MG/ML,B/02 AMP. DE 1ML,Liste I,HOP,OFF,,PFIZER,FRANCE,12/13/1998,9/11/2016,Ré,I,60MOIS,,
2653,360/ 04 B 022 /06/13,04 B 022,PIROXICAM SOUS FORME DE COMPLEXE PIROXICAM - BETA - CYCLODEXTRINE EXPRIME EN PIROXICAM,CYCLADOL,COMPRIME SECABLE ,20MG,B/14,Liste I,HOP,OFF,,PHARMETIC,ALGERIE,12/2/2006,3/5/2013,Gé,F,24 MOIS,,
2654,020/ 10 L 086 /96/15,10 L 086,POLYETHYLENE GLYCOL 4000 / SULFATE DE SODIUM ANHYDRE / BICARBONATE DE SODIUM / CHLORURE DE SODIUM / CHLORURE DE POTASSIUM,FORTRANS,PDRE. P. SOL. BUV. EN SACHET-DOSE,"64G/5,7G/1,68G/1,46G/0,75G/SACHET",B/04 SACHETS,,HOP,OFF,,IPSEN PHARMA,FRANCE,10/13/1996,3/18/2015,Ré,I,36 MOIS,,
2655,093/ 18 B 023 /02,18 B 023,POLYMYXINE /NEOMYCINE/ACETATE DE FLUDROCORTISONE/LIDOCAINE CHLORHYDRATE,PANOTILE,SOL AURIC . GTTES,"1000 000UI /1G/ 0,1G / 4G",FL/8ML,Liste I,HOP,OFF,,ZAMBON,FRANCE,7/8/2002,7/8/2002,Ré,I,,,
2656,255/ 14 D 022 /98/16,14 D 022,POLYSTIRENE SULFONATE DE SODIUM,KAYEXALATE,PDRE.SUSP.OR. et REC.,15G/MESURETTE,B/454G,Liste II,HOP,OFF,,SANOFI SYNTHELABO,FRANCE,1/26/1998,3/6/2017,Ré,I,48 MOIS ,,
2657,079/ 07 P 077 /99/19,07 P 077,POLYVIDONE IODEE,POLYLAD,SOL. DERM.,10% (10G/100ML),FL/125 ML,,HOP,OFF,,LABORATOIRE  ALGERIEN DE DEVELOPPEMENT  PHARMACEUTIQUE   (LAD),ALGERIE,7/13/1999,4/29/2019,Gé,F,18 MOIS,,
2658,314/ 07 P 077 /05/19,07 P 077,POLYVIDONE IODEE,BETADERMINE,SOL.DERM.,10%,FL/120ML ET FL/500ML,,HOP,OFF,,RIADH PHARM,ALGERIE,6/5/2005,6/16/2019,Gé,F,36 MOIS,,
2659,024/13 R 482/17,13 R 482,POSACONAZOLE,NOXAFIL,SUSP BUV,40MG/ML,"B/01 FL DE 105ML+UNE CUILLERE MESURE DE 2,5 ML ET 5 ML",Liste I,HOP,,,MERCK SHARP & DOHME LIMITED,ROYAUME UNI,6/29/2017,6/29/2017,Ré,I,36 MOIS,,
2660,003/ 14 G 061 /97/18,14 G 061,POTASSIUM GLUCONATE,KALIGON,SIROP,15%,FL/120ML,,HOP,OFF,,EPE GROUPE INDUSTRIEL SAIDAL/SPA,ALGERIE,8/12/1997,1/22/2018,Gé,F,36 MOIS,,
2661,022/ 17 N 169 /13,17 N 169,POVIDONE,FLUIDABAK,COLLYRE EN SOLUTION,1.5%,FL./10ML,,HOP,OFF,,THEA,FRANCE,10/20/2013,10/20/2013,Ré,I,24 MOIS,,
2662,459/ 07 P 076 /97/18,07 P 076,POVIDONE IODEE,BETADINE SCRUB,SOL.DERM. (MOUSSANTE),4%,FL/125ML,,HOP,OFF,,LABORATOIRE MEDA PHARMA,FRANCE,8/30/1997,11/26/2018,Ré,I,36 MOIS,,
2663,530/ 05 G 212 /18,05 G 212,Pralatrexate,FOLOTYN,SOLUTION POUR PERFUSION IV ,20 MG/ML,B/ 01 FL DE 01 ML,LISTE I,HOP,,,MUNDIPHARMA MEDICAL COMPANY ,SUISSE,9/27/2018,9/27/2018,Ré,I,48 MOIS ,,
2664,352/15 D 120/19,15 D 120,Pramipexole Dichlorhydrate,DOPREXOL,COMPRIME A LIBERATION PROLONGEE,"0,375 MG",B/30,LISTE I,HOP ,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,5/13/2019,5/13/2019,Gé,F,24 MOIS,,
2665,352/15 D 121/19,15 D 121,Pramipexole Dichlorhydrate,DOPREXOL,COMPRIME A LIBERATION PROLONGEE,"0,75 MG",B/30,LISTE I,HOP ,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,5/13/2019,5/13/2019,Gé,F,24 MOIS,,
2666,352/15 D 122/19,15 D 122,Pramipexole Dichlorhydrate,DOPREXOL,COMPRIME A LIBERATION PROLONGEE,"1,5 MG",B/30,LISTE I,HOP ,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,5/13/2019,5/13/2019,Gé,F,24 MOIS,,
2667,352/15 D 123/19,15 D 123,Pramipexole Dichlorhydrate,DOPREXOL,COMPRIME A LIBERATION PROLONGEE,"4,5 MG",B/30,LISTE I,HOP ,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,5/13/2019,5/13/2019,Gé,F,24 MOIS,,
2668,285/ 06 M 134 /01/17,06 M 134,PRAVASTATINE (SOUS FORME SODIQUE)**,ELISOR,COMPRIME SECABLE ,20MG,B/28,Liste I,HOP,OFF,,UNION PHARMACEUTIQUE  CONSTANTINOISE SARL (UPC),ALGERIE,9/11/2001,8/3/2017,Ré,F,24 MOIS,,
2669,352/ 06 M 134 /12,06 M 134,PRAVASTATINE SODIQUE,PRASIVAST,COMPRIME,20MG,PILULIER DE 30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2/15/2012,2/15/2012,Gé,F,,,
2670,352/ 06 M 294 /12/17,06 M 294,PRAVASTATINE SODIQUE,PRASIVAST,COMPRIME,40MG,B/30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,1/30/2012,12/27/2017,Gé,F,36 MOIS,,
2671,352/ 06 M 295 /12,06 M 295,PRAVASTATINE SODIQUE,PRASIVAST,COMPRIME,10MG,PILULIER DE 30,Liste I,HOP,OFF,,EL KENDI INDUSTRIE DU MEDICAMENT,ALGERIE,2/15/2012,2/15/2012,Gé,F,,,
2672,045/ 16 B 078 /98/09,16 B 078,PRAZEPAM,LYSANXIA,COMPRIME,10MG,B/40,Liste I,HOP,OFF,,PFIZER PHARM ALGERIE,ALGERIE,3/9/1998,3/7/2009,Ré,F,,,
2673,045/ 16 B 080 /98/16,16 B 080,PRAZEPAM,LYSANXIA,SOL .BUV .GTTES.,15MG/ML,FL/20ML,Liste I,HOP,OFF,,PFIZER,FRANCE,1/14/1998,1/4/2017,Ré,I,36 MOIS,,
2674,235/ 16 B 078 /10,16 B 078,PRAZEPAM,PREZIVA,COMPRIME,10MG,B/40,Liste I,HOP,OFF,,BIO-GALENIC,ALGERIE,5/13/2010,5/13/2010,Gé,F,,,
2675,242/ 16 B 080 /16,16 B 080,PRAZEPAM,PRAZEPAM GS,SOL .BUV .GTTES. + PIPETTE GRADUEE,15MG/ML,FL/20ML ,Liste I,HOP,OFF,,GROUPE SANTE SARL ,ALGERIE,9/5/2016,9/5/2016,Gé,F,24MOIS,,
2676,242/16 B 078/17,16 B 078,PRAZEPAM,PRAZEPAM GS,COMPRIME,10MG,B/40,Liste I,HOP,OFF,,GROUPE SANTE ,ALGERIE,1/17/2017,1/17/2017,Gé,F,24 MOIS,,
2677,207/ 07 H 183 /16,07 H 183,PREDNICARBATE ,PEITEL ,CREME .DERM.,0.25%,T/30G,Liste I,HOP,OFF,,"FERRER INTERNACIONALS.A,",Espagne,4/11/2016,4/11/2016,Ré,I,36MOIS,,
2678,317/ 09 H 143 /16,09 H 143,PREDNISOLONE,OROPRED,COMP. ORODISPERS.,5MG,B/30,Liste I,HOP,OFF,,INPHA-MEDIS SPA,ALGERIE,4/11/2016,4/11/2016,Gé,F,24 MOIS,,
2679,317/ 09 H 163 /16,09 H 163,PREDNISOLONE,OROPRED,COMPRIME SECABLE ,30MG,B/30,Liste I,HOP,OFF,,INPHA MEDIS SPA,ALGERIE,4/11/2016,4/11/2016,Gé,F,24 MOIS ,,
2680,320/ 09 H 143 /07/12,09 H 143,PREDNISOLONE,SWOR,COMP. ORODISPERS.,5MG,PILUL./30,Liste I,HOP,OFF,,ALGERIAN GENERICS DEVELOPMENT  PHARMA  (AGD PHARM),ALGERIE,3/7/2007,10/15/2012,Gé,Fprémix,,,
2681,320/ 09 H 144 /07/13,09 H 144,PREDNISOLONE,SWOR,COMP. ORODISPERS. SEC.,20MG,PILUL./20,Liste I,HOP,OFF,,ALGERIAN GENERICS DEVELOPMENT  PHARMA  (AGD PHARM),ALGERIE,3/7/2007,2/4/2013,Gé,Fprémix,,,
2682,380/ 09 H 144 /16,09 H 144,PREDNISOLONE,SOLOPRED HUP,COMP. ORODISPERS.,20MG,B/20,Liste I,HOP,OFF,,HUP.P.PHARMA SARL,ALGERIE,2/2/2016,2/2/2016,Gé,F,24 MOIS,,
2683,400/09 H 143/17,09 H 143,PREDNISOLONE,PREDNAMEX,COMP. ORODISPERS.,5MG,B/30,Liste I,HOP,OFF,,KPMA,ALGERIE,2/7/2017,2/7/2017,Gé,F,24 MOIS,,
2684,462/ 09 H 143 /16,09 H 143,PREDNISOLONE,PHYSIOLONE,COMP. ORODISPERS.,5MG,B/20,Liste I,HOP,OFF,,SARL PHYSIOPHARM,ALGERIE,3/13/2016,3/13/2016,Gé,F,24MOIS ,,
2685,462/ 09 H 144 /15,09 H 144,PREDNISOLONE,PHYSIOLONE,COMP. ORODISPERS.,20MG,B/20,Liste I,HOP,OFF,,PHYSIOPHARM SARL,ALGERIE,12/2/2015,12/2/2015,Gé,F,24 MOIS ,,
2686,462/ 09 H 174 /16,09 H 174,PREDNISOLONE,PHYSIOLONE,SOLUTION BUVABLE,1MG/ML,01 FLACON DE 60 ML + PIPETTE GRADUEE,Liste I,HOP,OFF,,SARL PHYSIOPHARM ,ALGERIE,2/22/2016,2/22/2016,Gé,F,24MOIS,,
2687,468/ 09 H 143 /15,09 H 143,PREDNISOLONE,PREDNICORT,COMP. ORODISPERS.,5MG,B/30,Liste I,HOP,OFF,,NADPHARMADIC PRODUCTION SARL,ALGERIE,6/9/2015,6/9/2015,Gé,F,24 MOIS,,
2688,468/ 09 H 144 /15,09 H 144,PREDNISOLONE,PREDNICORT,COMP. ORODISPERS.,20MG,B/20,Liste I,HOP,OFF,,NADPHARMADIC PRODUCTION SARL,ALGERIE,5/31/2015,5/31/2015,Gé,F,24 MOIS,,
2689,400/09 H 144/17,09 H 144,PREDNISOLONE ,PREDNAMEX,COMP. ORODISPERS.,20MG,B/20,Liste I,HOP,OFF,,KPMA ,ALGERIE,3/7/2017,3/7/2017,Gé,F,24 MOIS,,
2690,272/ 17 G 142 /06,17 G 142,PREDNISOLONE  ,OPHTAPRED,COLLYRE ,0.5%,FL/10ML,Liste I,HOP,OFF,,JORAS PHARMACEUTICAL S.P.A.,ALGERIE,6/27/2006,6/27/2006,Gé,F,,,
2691,386/ 17 G 167/12 ,17 G 167,PREDNISOLONE (SOUS FORME D'ACETATE)**,OPTIPRED,COLLYRE EN SUSPENSION ,1%,FL/5ML,Liste I,HOP,OFF,,JAMJOOM PHARMACEUTICAL INDUSTRY,ARABIE SAOUDITE,5/15/2012,5/15/2012,Gé,I,,,
2692,235/ 09 H 144 /14,09 H 144,PREDNISOLONE METASULFOBENZOATE DE SODIUM EXPRIME EN PREDNISOLONE,DEPRISOLE,COMP ORODISPERSIBLE, 20MG ,B/20,Liste I,HOP,OFF,,BIO-GALENIC,ALGERIE,3/31/2014,3/31/2014,Gé,F,,,
2693,348/09 H 144/16,09 H 144,PREDNISOLONE METASULFOBENZOATE DE SODIUM EXPRIME EN PREDNISOLONE,CORTIPRED ORO ,COMP ORODISPERSIBLE, 20MG ,B/20,Liste I,HOP,OFF,,API SARL,ALGERIE,12/19/2016,12/19/2016,Gé,F,24MOIS ,,
2694,518/09 H 144/18,09 H 144,PREDNISOLONE METASULFOBENZOATE DE SODIUM EXPRIME EN PREDNISOLONE,KORTIKAN 20,COMP ORODISPERSIBLE, 20MG ,B/20,Liste I,HOP,OFF,,TASSILI ARAB PHARMACEUTICAL COMPANY / SPA,ALGERIE,4/30/2018,4/30/2018,Gé,F,24MOIS ,,
2695,001/ 09 H 034 /14,09 H 034,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,REDNILEF,COMP EFFERV,5MG,PILULIER/30,Liste I,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,3/9/2014,3/9/2014,Gé,Fprémix,24 MOIS,,
2696,001/ 09 H 035 /14,09 H 035,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,REDNILEF,COMP EFFERV,20MG,PILULIER/20,Liste I,HOP,OFF,,HIKMA PHARMA ALGERIA SARL,ALGERIE,3/9/2014,3/9/2014,Gé,Fprémix,24 MOIS,,
2697,039/ 09 H 144 /13,09 H 144,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,PREDNAL,COMPRIME SECABLE ,20MG,B/20,Liste I,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE (SOPHAL),ALGERIE,5/12/2013,5/12/2013,Gé,F,,,
2698,235/ 09 H 143 /12/18,09 H 143,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,DEPRISOLE,COMP. ORODISPERS.,5MG,B/30,Liste I,HOP,OFF,,BIO-GALENIC,ALGERIE,4/24/2012,11/19/2018,Gé,F,24 MOIS,,
2699,077/ 09 H 143 /19,09 H 143,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,LAMISOLONE,COMP. ORODISPERS.,5MG,B/30,Liste I,HOP,OFF,,LABORATOIRE ALGERIEN DU MEDICAMENT SARL,ALGERIE,4/29/2019,4/29/2019,Gé,F,24 MOIS,,
2700,317/ 09 H 144 /15,09 H 144,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,OROPRED,COMP. ORODISPERS.,20MG,B/20,Liste I,HOP,OFF,,INPHA-MEDIS SPA,ALGERIE,1/18/2015,1/18/2015,Gé,F,24 MOIS,,
2701,318/09 H 174/16,09 H 174,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,CORTIDAL,SOLUTION BUVABLE,1MG/ML,FL 50ML,Liste I,HOP,OFF,,PHARMIDAL N.S. SARL,ALGERIE,11/9/2016,11/9/2016,Gé,F,24MOIS,,
2702,470/ 09 H 144 /14/19,09 H 144,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,PREDNISOLONE MM ORO,COMP ORO DISPER,20MG,B/20,Liste I,HOP,OFF,,MM LABORATOIRES SARL,ALGERIE,3/9/2014,12/22/2019,Gé,F,24 MOIS,,
2703,470/09 H 143/16,09 H 143,PREDNISOLONE METASULFOBENZOATE SODIQUE EXPRIME EN PREDNISOLONE,PREDNISOLONE MM ORO,COMP ORODISPERSIBLE,5MG,B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,11/2/2016,11/2/2016,Gé,F,24 MOIS,,
